;C   	!               	x a-addr --                   	store cell in memory 
;C   	=               	x1 x2 -- flag                 	test x1=x2 
;C   	>               	n1 n2 -- flag                 	test n1>n2, signed 
;Z   	><              	x1 -- x2                      	swap bytes (not ANSI) 
;C   	>BODY           	xt -- a-addr                  	adrs of CREATE data 
;C   	>IN             	-- a-addr                     	holds offset into TIB 
;Z   	>L              	x -- L: -- x                  	move to leave stack 
;C   	>NUMBER         	ud adr u -- ud' adr' u'       	convert string to number 
;C   	>R              	x -- R: -- x                  	push to return stack 
;Z   	>counted        	src n dst --                  	copy to counted str 
;Z   	>digit          	n -- c                        	convert to 0..9A..Z 
;U   	?               	adr -- u                      	display content of variable 
;U   	???             	--                            	show uMMT user variables 
;Z   	?ABORT          	f c-addr u --                 	abort & print msg 
;Z   	?BRANCH         	x --                          	branch if TOS zero 
;Z   	?DNEGATE        	d1 n -- d2                    	negate d1 if n negative 
;C   	?DUP            	x -- 0 | x x                  	DUP if nonzero 
;Z   	?NEGATE         	n1 n2 -- n3                   	negate n1 if n2 negative 
;Z   	?NUMBER         	c-addr -- c-addr 0            	if convert error 
;Z   	?NUMBER         	c-addr -- n -1                	string->number 
;Z   	?SIGN           	adr n -- adr' n' f            	get optional sign; advance adr/n if sign; return NZ if negative 
;C   	@               	a-addr -- x                   	fetch cell from memory 
;C   	ABORT           	i*x -- R: j*x --              	clear stk & QUIT 
;C   	ABORT"          	i*x 0 -- i*x R: j*x -- j*x    	x1=0 
;C   	ABORT"          	i*x x1 -- R: j*x --           	x1<>0 
;C   	ABS             	n1 -- +n2                     	absolute value 
;C   	ACCEPT          	c-addr +n -- +n'              	get line from term'l 
;U   	ADC             	-- adc                        	sample & convert once, fetch adc 
;U   	ADCR            	--                            	ADC to OUT (LEDs), endless loop 
;Z   	ADR>IN          	c-addr' --                    	set >IN to offset to given adr 
;X   	AGAIN           	adrs --                       	uncond'l backward branch 
;C   	ALIGN           	--                            	align HERE 
;C   	ALIGNED         	addr -- a-addr                	align given addr 
;C   	ALLOT           	n --                          	allocate n bytes in dict 
;C   	AND             	x1 x2 -- x3                   	logical AND 
;U   	AND-IN01        	--                            	logic AND of IN0 and IN1 stored to OUT0, endless loop 
;Z   	APP             	-- a-addr                     	app pointer ( was TURNKEY), use as APP ! To start App. 
;Z   	APPU0           	-- adr                        	start of Application user area 
;U   	AT-XY           	x y --                        	set cursor position in terminal 
;C   	BASE            	-- a-addr                     	holds conversion radix 
;C   	BEGIN           	-- adrs                       	target for bwd. branch 
;U   	BELL            	--                            	send $07 to Terminal 
;U   	BIN             	--                            	set number base to binary 
;U   	BIT4H           	--                            	set P2.4 (high) 
;U   	BIT4L           	--                            	reset P2.4 (low) 
;U   	BIT4OUT         	--                            	set P2.4 to output direction 
;U   	BIT5H           	--                            	set P2.5 (high) 
;U   	BIT5L           	--                            	reset P2.5 (low) 
;U   	BIT5OUT         	--                            	set P2.5 to output direction 
;U   	BIT6H           	--                            	set P2.6 (high) 
;U   	BIT6L           	--                            	reset P2.6 (low) 
;U   	BIT6OUT         	--                            	set P2.6 to output direction 
;U   	BIT7H           	--                            	set P2.7 (high) 
;U   	BIT7L           	--                            	reset P2.7 (low) 
;U   	BIT7OUT         	--                            	set P2.7 to output direction 
;C   	BL              	-- char                       	an ASCII space 
;Z   	BLI0            	-- adr                        	blinker counter low 
;Z   	BLI1            	-- adr                        	blinker counter high 
;Z   	BOOT            	--                            	boot system 
;Z   	BRANCH          	--                            	branch always 
;C   	C!              	char c-addr --                	store char in memory 
;C   	C,              	char --                       	append char to dict 
;C   	C@              	c-addr -- char                	fetch char from memory 
;C   	CAPITALIZE      	c-addr -- c-addr              	capitalize string 
;Z   	CAPS            	-- a-addr                     	capitalize words pointer 
;U   	CCLR            	mask addr --                  	reset bit from mask in addr (byte) 
;Z   	CELL            	-- n                          	size of one cell 
;C   	CELL+           	a-addr1 -- a-addr2            	add cell size 
;C   	CELLS           	n1 -- n2                      	cells->adrs units 
;U   	CGAP            	--                            	play a character gap 
;U   	CGET            	mask addr -- flag             	test bit from mask in addr (byte) 
;C   	CHAR            	-- char                       	parse ASCII character 
;C   	CHAR+           	c-addr1 -- c-addr2            	add char size 
;C   	CHARS           	n1 -- n2                      	chars->adrs units 
;U   	CLR             	mask addr --                  	reset bit from mask in addr (cell); use even adr! 
;X   	CMOVE           	c-addr1 c-addr2 u --          	move from bottom 
;X   	CMOVE>          	c-addr1 c-addr2 u --          	move from top 
;Z   	COLD            	--                            	set user area to latest application 
;Z   	COMPILE         	--                            	append inline execution token 
;X   	COMPILE,        	xt --                         	append execution token 
;U   	COND-IN0        	--                            	Condition of IN0 stored to OUT0, endless loop 
;C   	CONSTANT        	--                            	define a Forth constant 
;Z   	COR             	-- adr                        	cause of reset 
;C   	COUNT           	c-addr1 -- c-addr2 u          	counted->adr/len 
;U   	COUNTER         	--                            	8Hz binary counter OUT 
;C   	CR              	--                            	output newline 
;Z   	CRC             	n addr len -- n'              	crc process string 
;C   	CREATE          	--                            	create an empty definition pointing to RAM 
;U   	CSET            	mask addr --                  	set bit from mask in addr (byte) 
;U   	CTOGGLE         	mask addr --                  	flip bit from mask in addr (byte) 
;Z   	D->I            	c-addr1 c-addr2 u --          	move Data->Code 
;X   	DABS            	d1 -- +d2                     	absolute value dbl.prec. 
;U   	DAH             	--                            	play a long tone 
;C   	DECIMAL         	--                            	set number base to decimal 
;C   	DEPTH           	-- +n                         	number of items on stack 
;Z   	DIGIT?          	c -- n -1 | x 0               	if c is a valid digit | otherwise 
;U   	DIT             	--                            	play a short tone 
;Z   	DITV            	-- adr                        	tone duration register 
;X   	DNEGATE         	d1 -- d2                      	negate double precision 
;C   	DO              	-- adrs L: -- 0               	start a loop 
;C   	DOCR            	--                            	output newline 
;C   	DOES>           	--                            	change action of latest def'n 
;Z   	DP              	-- a-addr                     	holds dictionary ptr 
;C   	DROP            	x --                          	drop top of stack 
;X   	DUMP            	adr n --                      	dump memory 
;C   	DUP             	x -- x x                      	duplicate top of stack 
;C   	ELSE            	adrs1 -- adrs2                	branch for IF..ELSE 
;C   	EMIT            	c --                          	output character to console; vectored 
;Z   	ENDLOOP         	adrs xt -- L: 0 a1 a2 .. aN --	common factor of LOOP and +LOOP 
;U   	ENRES           	--                            	set resistor enable register P2 
;C   	ENVIRONMENT?    	c-addr u -- false | i*x true  	system query 
;Z   	ESC[            	--                            	start esc-sequence 
;U   	ETC             	--                            	electronic time clock (stoppuhr) 
;Z   	ETC0            	-- adr                        	timer counter low 
;Z   	ETC1            	-- adr                        	timer counter high 
;U   	ETC@            	-- etc1 etc0 ta0r             	fetch timer values 
;U   	ETCOFF          	--                            	Turn timer A0 off. 
;C   	EVALUATE        	i*x c-addr u -- j*x           	interprt string 
;C   	EXECUTE         	i*x xt -- j*x                 	execute Forth word at 'xt' 
;C   	EXIT            	--                            	exit a colon definition 
;Z   	FACTORY         	--                            	set user area to plain kernel 
;U   	FALSE           	-- f                          	false flag 
;C   	FILL            	c-addr u char --              	fill memory with char 
;C   	FIND            	c-addr -- c-addr 0            	if not found 
;C   	FIND            	c-addr -- xt -1               	if "normal" 
;C   	FIND            	c-addr -- xt 1c               	if immediate 
;Z   	FLALIGNED       	a -- a'                       	align IDP to flash boundary 
;Z   	FLERASE         	a-addr n --                   	erase n bytes of flash, full segment sizes. 
;C   	FM/MOD          	d1 n1 -- n2 n3                	floored signed div'n 
;U   	FRQ             	--                            	Output frequency at P2.7 using SW timer values. 
;U   	GAP             	--                            	play a short gap 
;Z   	HEADER          	--                            	create a Forth word header 
;C   	HERE            	-- addr                       	returns dictionary ptr 
;X   	HEX             	--                            	set number base to hex 
;Z   	HIDE            	--                            	"hide" latest definition 
;C   	HOLD            	char --                       	add char to output string 
;Z   	HP              	-- a-addr                     	HOLD pointer 
;C   	I               	-- n R: sys1 sys2 -- sys1 sys2	get the innermost loop index 
;Z   	I!              	x a-addr --                   	store cell in Instruction memory 
;C   	I,              	x --                          	append cell to Code dict 
;Z   	I->D            	c-addr1 c-addr2 u --          	move Code->Data 
;C   	IALLOT          	n --                          	allocate n bytes in Code dict 
;Z   	IC!             	x a-addr --                   	store char in Instruction memory 
;C   	IC,             	char --                       	append char to Code dict 
;Z   	IDP             	-- a-addr                     	ROM dictionary pointer 
;C   	IF              	-- adrs                       	conditional forward branch 
;C   	IHERE           	-- addr                       	returns Code dictionary ptr 
;Z   	IMMED?          	nfa -- f                      	fetch immediate flag 
;C   	IMMEDIATE       	--                            	make last def'n immediate 
;U   	IN@             	-- n                          	read lower nibble digital input of P2 
;Z   	INFOB           	-- adr                        	start of info B segment 
;Z   	INFOC           	-- adr                        	start of info C segment 
;Z   	INFOD           	-- adr                        	start of info C segment 
;U   	INITP2          	--                            	set all P2 defaults for uMMT 
;U   	INITUMMT        	--                            	init uMMT system variables 
;Z   	INTERPRET       	i*x c-addr u -- j*x           	interpret given buffer 
;U   	INTOOUT         	--                            	endless loop reading IN and puting it OUT to the LEDs 
;C   	INVERT          	x1 -- x2                      	bitwise inversion 
;U   	INVERT-IN0      	--                            	Invert IN0 and store to OUT0, endless loop 
;Z   	IS"             	--                            	compile in-line string 
;Z   	ITHERE          	-- adr                        	find first free flash cell 
;Z   	IWORD           	c -- c-addr                   	WORD to Code space 
;Z   	IWORDC          	c -- c-addr                   	maybe capitalize WORD to Code space 
;C   	J               	-- n R: 4*sys -- 4*sys        	get the second loop index 
;C   	KEY             	-- c                          	get character from keyboard; vectored 
;X   	KEY?            	-- f                          	return true if char waiting 
;Z   	L0              	-- a-addr                     	bottom of Leave stack 
;Z   	L>              	-- x L: x --                  	move from leave stack 
;Z   	LATEST          	-- a-addr                     	last word in dict. 
;U   	LBL             	--                            	LED blink 
;C   	LEAVE           	-- L: -- adrs                 	leave a loop 
;U   	LEFTMOST        	--                            	servo puls, turning servo to the left 
;Z   	LIT             	-- x                          	fetch inline literal to stack 
;C   	LITERAL         	x --                          	append numeric literal 
;U   	LOFF            	--                            	Turn LED off. 
;U   	LON             	--                            	Turn LED on, i.e. stop blink 
;C   	LOOP            	adrs -- L: 0 a1 a2 .. aN --   	finish a loop 
;Z   	LP              	-- a-addr                     	Leave-stack pointer 
;C   	LSHIFT          	x1 u -- x2                    	logical L shift u places 
;C   	M*              	n1 n2 -- d                    	signed 16*16->32 multiply 
;X   	M+              	d n -- d                      	add single to double 
;X   	MARKER          	--                            	create word to restore dictionary 
;C   	MAX             	n1 n2 -- n3                   	signed maximum 
;U   	MEM             	-- u                          	bytes left in flash 
;Z   	MEMBOT          	-- adr                        	begining of USERflash 
;Z   	MEMTOP          	-- adr                        	end of USERflash 
;U   	MIDDLE          	--                            	servo puls, turning servo to a middle position 
;C   	MIN             	n1 n2 -- n3                   	signed minimum 
;C   	MOD             	n1 n2 -- n3                   	signed remainder 
;C   	MOVE            	addr1 addr2 u --              	smart move 
;U   	MS              	n --                          	wait about n milliseconds 
;Z   	N=              	c-addr1 c-addr2 u -- n        	name compare, n<0: s1<s2, n=0: s1=s2, n>0: s1>s2 
;C   	NEGATE          	x1 -- x2                      	two's complement 
;Z   	NEWEST          	-- a-addr                     	temporary LATEST storage 
;Z   	NEWLINE         	-- a-addr                     	CR pointer 
;Z   	NFA>CFA         	nfa -- cfa                    	name adr -> code field 
;Z   	NFA>LFA         	nfa -- lfa                    	name adr -> link field 
;X   	NIP             	x1 x2 -- x2                   	per stack diagram 
;Z   	NOOP            	--                            	do nothing 
;Z   	OFFTIME         	--                            	execute OFF timer once 
;Z   	ONTIME          	--                            	execute ON timer once 
;C   	OR              	x1 x2 -- x3                   	logical OR 
;U   	OR-IN01         	--                            	logic OR of IN0 and IN1 stored to OUT0, endless loop 
;U   	OUT!            	n --                          	write n to upper nibble of P2 (4 LEDs) 
;U   	OUTL            	--                            	write OUTV to upper nibble of P2 (4 LEDs) 
;U   	OUTV            	-- adr                        	output backup register, general purpose register too 
;C   	OVER            	x1 x2 -- x1 x2 x1             	per stack diagram 
;Z   	P1              	-- adr                        	address of port1 output register 
;Z   	P2              	-- adr                        	address of port2 output register 
;Z   	P3              	-- adr                        	address of port2 output register 
;X   	PAD             	-- a-addr                     	user PAD buffer = end of hold area! 
;U   	PAGE            	--                            	send "page" command to terminal to clear screen. 
;X   	PARSE           	char -- c-addr n              	word delim'd by char 
;Z   	PN              	--                            	send parameter of esc-sequence 
;U   	POSITION        	--                            	drive servo line at P2.6 to position using SW1H value 
;C   	POSTPONE        	--                            	postpone compile action of word 
;U   	PWM             	--                            	Output frequency at P2.5 using SW timer values. 
;C   	QUIT            	-- R: i*x --                  	interpret from kbd 
;Z   	R0              	-- a-addr                     	end of return stack 
;C   	R>              	-- x R: x --                  	pop from return stack 
;C   	R@              	-- x R: x -- x                	fetch from rtn stk 
;U   	RAM             	--                            	compile into RAM. SAVE your system befor using RAM. 
;C   	RECURSE         	--                            	recurse current definition 
;C   	REPEAT          	adrs2 adrs1 --                	resolve WHILE loop 
;Z   	RESETADR        	-- adr                        	reset vector address 
;Z   	REVEAL          	--                            	"reveal" latest definition 
;U   	RIGHTMOST       	--                            	servo puls, turning servo to the right 
;C   	RLA             	n1 -- n2 f                    	rotate left through carry, true if carry set 
;C   	ROT             	x1 x2 x3 -- x2 x3 x1          	per stack diagram 
;Z   	RP!             	a-addr --                     	set return stack pointer 
;Z   	RP@             	-- a-addr                     	get return stack pointer 
;C   	RSHIFT          	x1 u -- x2                    	logical R shift u places 
;C   	S"              	--                            	compile in-line string 
;Z   	S0              	-- a-addr                     	end of parameter stack 
;U   	S2              	-- mask port                  	S2 button mask and port address 
;U   	S2?             	-- f                          	test button S2, true is pressed 
;U   	S3              	-- mask port                  	S3 button mask and port address 
;U   	S3?             	-- f                          	test button S3, true is pressed 
;Z   	S=              	c-addr1 c-addr2 u -- n        	string compare, n<0: s1<s2, n=0: s1=s2, n>0: s1>s2 
;C   	S>D             	n -- d                        	single -> double prec. 
;U   	SAVE            	--                            	save user area to infoB 
;Z   	SCAN            	c-addr u c -- c-addr' u'      	find matching char 
;U   	SCOUNTER        	n --                          	binary counter OUT, n sets tempo 
;U   	SERVO           	n --                          	make a new servo position by adding n to SWH1 
;U   	SET             	mask addr --                  	set bit from mask in addr (cell); use even adr! 
;U   	SETGPIO         	--                            	select GPIO function of P2 
;U   	SETOUTIN        	--                            	set direction register P2 
;C   	SIGN            	n --                          	add minus sign if n<0 
;Z   	SKIP            	c-addr u c -- c-addr' u'      	skip matching chars 
;U   	SL              	--                            	turn servo to the left some degree 
;U   	SLEEP           	--                            	enter low power mode, get out: reset /key, LEDs off first 
;Z   	SLIM            	n -- lim                      	limit n using values of SWL0 and SWL1 
;C   	SM/REM          	d1 n1 -- n2 n3                	symmetric signed div 
;U   	SOS             	--                            	play morse code S O S once 
;C   	SOURCE          	-- adr n                      	current input buffer 
;Z   	SP!             	a-addr --                     	set data stack pointer 
;Z   	SP@             	-- a-addr                     	get data stack pointer 
;C   	SPACE           	--                            	output a space 
;C   	SPACES          	n --                          	output n spaces 
;U   	SR              	--                            	turn servo to the right some degree 
;C   	STATE           	-- a-addr                     	holds compiler state 
;C   	SWAP            	x1 x2 -- x2 x1                	swap top two items 
;U   	SWEEP           	--                            	sweep PWM duty cycles up an dowm 
;Z   	SWH0            	-- adr                        	lower timer value, ON time 
;Z   	SWH1            	-- adr                        	upper timer value, ON time 
;Z   	SWL0            	-- adr                        	lower timer value, OFF time 
;Z   	SWL1            	-- adr                        	upper timer value, OFF time 
;C   	TABLE           	--                            	create an empty definition pointing to FLASH 
;C   	THEN            	adrs --                       	resolve forward branch 
;X   	TIB             	-- a-addr                     	Terminal Input Buffer 
;Z   	TIBSIZE         	-- n                          	size of TIB 
;Z   	TOPSEG          	-- a-addr                     	bottom of top most segment 
;U   	TRUE            	-- f                          	true flag 
;X   	TUCK            	x1 x2 -- x2 x1 x2             	per stack diagram 
;C   	TYPE            	c-addr +n --                  	type line to term'l 
;C   	U.              	u --                          	display u unsigned 
;X   	U.R             	u n --                        	display u unsigned in n width 
;Z   	U0              	-- a-addr                     	current user area adrs 
;C   	U<              	u1 u2 -- flag                 	test u1<u2, unsigned 
;X   	U>              	u1 u2 -- flag                 	u1>u2 unsgd (not ANSI) 
;Z   	UD*             	ud1 d2 -- ud3                 	32*16->32 multiply 
;Z   	UD/MOD          	ud1 u2 -- u3 ud4              	32/16->32 divide 
;Z   	UINIT           	-- addr                       	initial values for user area 
;C   	UM*             	u1 u2 -- ud                   	unsigned 16x16->32 mult. 
;C   	UM/MOD          	ud u1 -- u2 u3                	unsigned 32/16->16 
;Z   	UMAX            	u1 u2 -- u                    	unsigned maximum 
;Z   	UMIN            	u1 u2 -- u                    	unsigned minimum 
;C   	UNLOOP          	-- R: sys1 sys2 --            	drop loop parms 
;C   	UNTIL           	adrs --                       	conditional backward branch 
;U   	UNUSED          	-- u                          	bytes left in RAM 
;C   	UPC             	char -- char                  	capitalize character 
;Z   	USER            	n --                          	define user variable 'n' 
;Z   	USEREMIT        	-- a-addr                     	EMIT pointer 
;Z   	USERKEY         	-- a-addr                     	KEY pointer 
;Z   	VARBOT          	-- a-addr                     	bottom of Variable Area 
;C   	VARIABLE        	--                            	define a Forth VARIABLE 
;Z   	VECBOT          	-- a-addr                     	begining of vector segment 
;Z   	WARM            	--                            	use user area from RAM (hopefully intact) 
;U   	WGAP            	--                            	play a word gap 
;C   	WHILE           	adrs1 -- adrs2 adrs1          	branch for WHILE loop 
;U   	WIPE            	--                            	erase flash but not kernel, reset user area. 
;X   	WITHIN          	n1|u1 n2|u2 n3|u3 -- f        	n2<=n1<n3? 
;C   	WORD            	char -- c-addr                	word delim'd by char 
;X   	WORDS           	--                            	list all words in dict. Stop and go key version. 
;C   	XOR             	x1 x2 -- x3                   	logical XOR 
;U   	XOR-IN01        	--                            	logic XOR of IN0 and IN1 stored to OUT0, endless loop 
;X   	ZERO            	-- 0                          	put zero on stack. Often usesd word. 
;X   	ZEROS           	n --                          	output n zeros 
;C   	[               	--                            	enter interpretive state 
;C   	[']             	--                            	find word & compile as literal 
;C   	[CHAR]          	--                            	compile character literal 
;U   	\               	--                            	backslash 
;C   	]               	--                            	enter compiling state 
;Z  1#	n --            	type 1 digit                  	 
;U  1KHZ	--              	1 kHz frequency, 50% duty cycle	 
;U  1KHZ25	--              	1 kHz frequency, 25% duty cycle	 
;U  1KHZ5	--              	1 kHz frequency, 5% duty cycle	 
;Z  2#	n --            	type 2 digits                 	 
;Z  4#	n --            	type 4 digits                 	 
;U  4shiftl	--              	shift value in OUTV to the left one nibble (up)	 
;U  50HZ	--              	50 Hz frequency, 50% duty cycle	 
;U  ???	--              	show uMMT user variables      	 
;U  ADC	-- adc          	sample & convert once, fetch adc	(pin 6, CA4, P1.4) 
;U  ADCR	--              	ADC to OUT (LEDs), endless loop	 
;U  AND-IN01	--              	logic AND of IN0 and IN1 stored to OUT0, endless loop	 
;U  BIT0	-- n            	16 bit value with bitx set    	 
;U  BIT1	-- n            	16 bit value with bitx set    	 
;U  BIT2	-- n            	16 bit value with bitx set    	 
;U  BIT3	-- n            	16 bit value with bitx set    	 
;U  BIT4	-- n            	16 bit value with bitx set    	 
;U  BIT4H	--              	set P2.4 (high)               	 
;U  BIT4L	--              	reset P2.4 (low)              	 
;U  BIT4OUT	--              	set P2.4 to output direction  	 
;U  BIT5	-- n            	16 bit value with bitx set    	 
;U  BIT5H	--              	set P2.5 (high)               	 
;U  BIT5L	--              	reset P2.5 (low)              	 
;U  BIT5OUT	--              	set P2.5 to output direction  	 
;U  BIT6	-- n            	16 bit value with bitx set    	 
;U  BIT6H	--              	set P2.6 (high)               	 
;U  BIT6L	--              	reset P2.6 (low)              	 
;U  BIT6OUT	--              	set P2.6 to output direction  	 
;U  BIT7	-- n            	16 bit value with bitx set    	 
;U  BIT7H	--              	set P2.7 (high)               	 
;U  BIT7L	--              	reset P2.7 (low)              	 
;U  BIT7OUT	--              	set P2.7 to output direction  	 
;Z  BLCN	-- adr          	blinker counter high          	 
;Z  BLI0	-- adr          	blinker counter low           	 
;Z  BLI1	-- adr          	blinker counter high          	 
;U  CGAP	--              	play a character gap          	 
;U  COND-IN0	--              	Condition of IN0 stored to OUT0, endless loop	 
;U  COUNTER	--              	8Hz binary counter OUT        	 
;U  DAH	--              	play a long tone              	 
;U  DIT	--              	play a short tone             	 
;Z  DITV	-- adr          	tone duration register        	 
;U  ENRES	--              	set resistor enable register P2	 
;U  ETC	--              	electronic time clock (stoppuhr)	 
;Z  ETC0	-- adr          	timer counter low             	 
;Z  ETC1	-- adr          	timer counter high            	 
;U  ETC@	--              	etc1 etc0 ta0                 	 
;U  ETCOFF	--              	Turn timer A0 off.            	 
;U  FRQ	--              	Output frequency at P2.7 using SW timer values.	 
;U  GAP	--              	play a short gap              	 
;U  IN@	-- n            	read lower nibble digital input of P2	 
;U  INIT	--              	Set P2 I/O                    	 
;U  INITP2	--              	set all P2 defaults for uMMT  	 
;U  INTOOUT	--              	endless loop reading IN and puting it OUT to the LEDs	 
;U  INVERT-IN0	--              	Invert IN0 and store to OUT0, endless loop	 
;U  LBL	--              	LED blink                     	 
;U  LED0	-- mask port    	LEDx mask and OUT address     	 
;U  LED1	-- mask port    	LEDx mask and OUT address     	 
;U  LED2	-- mask port    	LEDx mask and OUT address     	 
;U  LED3	-- mask port    	LEDx mask and OUT address     	 
;U  LEFTMOST	--              	servo puls, turning servo to the left	 
;U  LOFF	--              	Turn LED off.                 	 
;U  LON	--              	Turn LED on, i.e. stop blink  	 
;U  MIDDLE	--              	servo puls, turning servo to a middle position	 
;Z  OFFTIME	--              	execute OFF timer once        	 
;Z  ONTIME	--              	execute ON timer once         	 
;U  OR-IN01	--              	logic OR of IN0 and IN1 stored to OUT0, endless loop	 
;U  OUT!	n --            	write n to upper nibble of P2 (4 LEDs)	 
;U  OUTL	--              	write OUTV to upper nibble of P2 (4 LEDs)	 
;Z  OUTV	-- adr          	holds value for ON time       	 
;U  OUTV	-- adr          	output backup register, general purpose register too	 
;U  POSITION	--              	drive servo line at P2.6 to position using SW1H value	 
;U  PWM	--              	Output frequency at P2.5 using SW timer values.	 
;U  RIGHTMOST	--              	servo puls, turning servo to the right	 
;U  S2	-- mask port    	second button mask and port address	 
;U  S2?	-- f            	test button S2, true is pressed	 
;U  S3	-- mask port    	second button mask and port address	 
;U  S3?	-- f            	test button S2, true is pressed	 
;U  SCOUNTER	n --            	binary counter OUT, n sets tempo	 
;U  SERVO	n --            	make a new servo position by adding n to SWH1	 
;U  SETGPIO	--              	select GPIO function of P2    	 
;U  SETOUTIN	--              	set direction register P2     	 
;U  SL	--              	turn servo to the left some degree	 
;Z  SLIM	n -- lim        	limit n using values of SWL0 and SWL1	 
;U  SOS	--              	play morse code S O S once    	 
;U  SR	--              	turn servo to the right some degree	 
;U  SWEEP	--              	sweep PWM duty cycles up an dowm	 
;Z  SWH0	-- adr          	lower timer value, ON time    	 
;Z  SWH1	-- adr          	upper timer value, ON time    	 
;Z  SWL0	-- adr          	lower timer value, OFF time   	 
;Z  SWL1	-- adr          	upper timer value, OFF time   	 
;U  WGAP	--              	play a word gap               	 
;U  XOR-IN01	--              	logic XOR of IN0 and IN1 stored to OUT0, endless loop	 
